account_holder_name,bank_name,type,currency,location,previous_location,device,amount,balance,txn_count_last_1hr,txn_count_last_24hr,avg_txn_amount_30days,distance_from_last_txn_km,account_age_days,is_new_location,is_new_device,is_vpn_or_proxy,ip_matches_location,is_international,is_first_time_receiver,merchant_category,transaction_mode,ip_risk_tag,risk_score,risk_level,is_fraud,fraud_reason,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10,r11,r12,r13,r14
Diya Mehta,RBL Bank,debit,INR,Hyderabad,Patna,MacBook,27087,224841,5,24,4000.0,751,369,1,1,1,0,0,0,retail,UPI,PROXY,10.0,CRITICAL,1,R02:OddHours(hour=1) | R04:FrequentTxns(5txns/hr) | R06:SuspiciousLocationJump(751km) | R07:NewDeviceDetected(MacBook) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:AnonymousProxy | R11:AmountSpike(7xAvg) | R13:HighDailyVolume(24txns),0,1,0,1,0,1,1,1,0,0,1,0,1,0
Diya Mehta,Union Bank,debit,INR,Jaipur,Hyderabad,Windows Phone,5576.62,58779.48,2,3,7446,19,1853,1,0,0,1,0,0,utilities,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhishek Nair,Bank of Baroda,debit,INR,Kolkata,Chennai,Web,3121.66,22506.64,0,5,6981,5,1507,0,0,0,1,0,0,travel,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarav Shah,Yes Bank,debit,INR,Gurgaon,Jaipur,Android,7140.3,76541.2,1,5,7519,30,1119,0,0,0,1,0,0,healthcare,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simran Kapoor,Yes Bank,debit,INR,Jaipur,Delhi,iPhone,12549,103912,5,23,4000.0,993,397,1,1,1,0,0,0,retail,UPI,PROXY,10.0,CRITICAL,1,R04:FrequentTxns(5txns/hr) | R06:SuspiciousLocationJump(993km) | R07:NewDeviceDetected(iPhone) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:AnonymousProxy | R13:HighDailyVolume(23txns),0,0,0,1,0,1,1,1,0,0,0,0,1,0
Manish Tiwari,PNB,debit,USD,London,Bhopal,Linux Desktop,20421,419513,2,5,8000.0,4511,1310,1,1,1,0,1,0,travel,CARD,TOR,10.0,CRITICAL,1,R06:ImpossibleTravel(4511km) | R07:NewDeviceDetected(Linux Desktop) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:TorNetwork | R09:InternationalTxn(currency=USD),0,0,0,0,0,1,1,1,1,0,0,0,0,0
Sneha Pillai,PNB,debit,INR,Lucknow,Kochi,Android,2324.83,12658.32,0,3,3744,29,1820,0,0,0,1,0,0,food,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yash Agarwal,Canara Bank,debit,INR,Surat,Delhi,Windows Phone,2128.46,43269.84,0,1,1681,32,1598,1,0,0,1,0,0,utilities,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sneha Pillai,Union Bank,debit,INR,Surat,Pune,Linux Desktop,1058.17,14203.68,1,3,2529,30,1999,0,0,0,1,0,0,education,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siddharth Malhotra,RBL Bank,debit,INR,Bhubaneswar,Bhubaneswar,iPhone,2101.34,21175.36,2,2,6847,15,1083,0,0,0,1,0,0,food,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diya Mehta,SBI,debit,INR,Hyderabad,Pune,iPad,5254.66,66932.64,0,0,7311,38,1177,0,0,0,1,0,0,utilities,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meera Nair,ICICI,debit,INR,Kochi,Kochi,Smart TV,94000.0,98700.0,1,3,6266.67,0,426,0,0,0,1,0,1,electronics,RTGS,CLEAN,10.0,CRITICAL,1,R01:HighAmount(=94000) | R03:BalanceDrain(=95%) | R10:NewReceiverHighAmount(94000) | R11:AmountSpike(15xAvg) | R14:RoundAmountStructuring(94000),1,0,1,0,0,0,0,0,0,1,1,0,0,1
Manish Tiwari,Bank of Baroda,debit,INR,Lucknow,Bangalore,Windows Phone,4886.33,28867.32,0,0,4062,38,2301,0,0,0,1,0,0,food,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pooja Iyer,Kotak,debit,INR,Jaipur,Surat,MacBook,905.76,28961.04,2,5,1063,20,1737,0,0,0,1,0,0,food,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priya Singh,IDFC First,debit,INR,Bangalore,Patna,Windows Phone,3606.0,57639.0,0,4,4170,2,1599,0,0,0,1,0,0,grocery,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riya Patel,IDBI,debit,INR,Bhubaneswar,Mumbai,Web,1385.35,8883.4,0,2,1419,46,1874,0,0,0,1,0,0,utilities,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anjali Desai,RBL Bank,debit,INR,Mumbai,Bhopal,Android,3853.25,48307.0,0,0,3254,17,1812,0,0,0,1,0,0,utilities,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kavya Reddy,IDBI,debit,INR,Bangalore,Surat,ATM,992.8,40701.2,1,2,2145,47,1693,0,0,0,1,0,0,travel,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhishek Nair,HDFC,debit,INR,Bangalore,Kochi,Windows Phone,2601.47,44093.88,0,3,2641,49,1349,0,0,0,1,0,0,entertainment,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diya Mehta,Canara Bank,debit,INR,Bhubaneswar,Bhubaneswar,Smart TV,3937.48,37086.92,0,1,3518,42,1898,0,0,0,1,0,0,entertainment,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shreya Bose,Bank of Baroda,debit,INR,Bangalore,Bangalore,Android,11461,157733,8,24,3000.0,0,160,0,1,1,0,0,0,retail,UPI,VPN,10.0,CRITICAL,1,R04:RapidFire(8txns/hr) | R07:NewDeviceDetected(Android) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:CommercialVPN | R13:HighDailyVolume(24txns),0,0,0,1,0,0,1,1,0,0,0,0,1,0
Ishita Chaudhary,IDFC First,debit,INR,Kochi,Gurgaon,ATM,2450.47,43636.88,2,0,3593,39,496,0,0,0,1,0,0,travel,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarav Shah,IDBI,debit,INR,Lucknow,Indore,MacBook,525.23,45911.92,1,0,1251,36,1403,0,0,0,1,0,0,retail,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yash Agarwal,Union Bank,debit,INR,Noida,Pune,iPhone,1209.37,10124.48,2,1,1963,37,1165,0,0,0,1,0,0,retail,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shreya Bose,PNB,debit,INR,Gurgaon,Ahmedabad,iPhone,3468.71,63475.84,2,0,7742,35,1605,0,0,0,1,0,0,travel,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neha Sharma,Yes Bank,debit,INR,Hyderabad,Kochi,iPhone,2977.86,61357.44,0,5,4050,44,1540,0,0,0,1,0,0,food,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ishita Chaudhary,Yes Bank,debit,INR,Patna,Kochi,iPad,5862.28,59113.12,0,3,4785,16,907,0,0,0,1,0,0,retail,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikhil Bansal,IDBI,debit,INR,Gurgaon,Delhi,Android,3750.76,23702.04,1,3,3829,11,1540,0,0,0,1,0,0,insurance,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siddharth Malhotra,Axis,debit,INR,Kolkata,Bhubaneswar,Linux Desktop,6714.65,53483.6,0,5,5628,11,1382,0,0,0,1,0,0,education,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priya Singh,Canara Bank,debit,INR,Patna,Nagpur,Linux Desktop,2720.68,53551.72,0,1,5522,36,1051,0,0,0,1,0,0,insurance,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarav Shah,ICICI,debit,JPY,Seoul,Ahmedabad,Desktop,26924,417252,2,5,8000.0,4853,1480,1,1,1,0,1,0,travel,CARD,TOR,10.0,CRITICAL,1,R06:ImpossibleTravel(4853km) | R07:NewDeviceDetected(Desktop) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:TorNetwork | R09:InternationalTxn(currency=JPY),0,0,0,0,0,1,1,1,1,0,0,0,0,0
Neha Sharma,SBI,debit,INR,Pune,Delhi,MacBook,5815.72,34908.88,1,3,5415,15,828,0,0,0,1,0,0,travel,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diya Mehta,PNB,debit,INR,Chandigarh,Noida,MacBook,7371.17,69123.68,2,1,7257,18,716,0,0,0,1,0,0,electronics,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarav Shah,Canara Bank,debit,INR,Kochi,Kochi,Linux Desktop,47020,65828,1,2,4702,0,1093,0,0,0,1,0,1,electronics,NEFT,CLEAN,4.5,MEDIUM,0,R10:NewReceiverHighAmount(47020) | R11:AmountSpike(10xAvg),0,0,0,0,0,0,0,0,0,1,1,0,0,0
Diya Mehta,Union Bank,debit,INR,Bangalore,Surat,iPad,809.14,10824.56,1,4,1664,44,851,0,0,0,1,0,0,insurance,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rahul Khanna,Bank of Baroda,debit,INR,Mumbai,Kochi,iPad,5370.55,22041.2,2,3,7784,37,673,0,0,0,1,0,0,food,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sneha Pillai,Canara Bank,debit,CHF,Paris,Ahmedabad,iPad,18243,402337,2,5,8000.0,6364,1123,1,1,1,0,1,0,travel,CARD,TOR,10.0,CRITICAL,1,R06:ImpossibleTravel(6364km) | R07:NewDeviceDetected(iPad) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:TorNetwork | R09:InternationalTxn(currency=CHF),0,0,0,0,0,1,1,1,1,0,0,0,0,0
Vikram Rao,HDFC,debit,INR,Surat,Surat,Web,4931.21,46260.84,1,4,6847,24,2314,0,0,0,1,0,0,healthcare,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ishita Chaudhary,Union Bank,debit,INR,Noida,Ahmedabad,Windows Phone,4982.47,39723.88,0,3,4665,25,2243,0,0,0,1,0,0,retail,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karan Joshi,Federal Bank,debit,USD,Hong Kong,Delhi,iPhone,72000.0,73440.0,9,28,5000.0,5053,17,1,1,1,0,1,1,gambling,CARD,TOR,10.0,CRITICAL,1,R01:HighAmount(=72000) | R02:OddHours(hour=4) | R03:BalanceDrain(=98%) | R04:RapidFire(9txns/hr) | R05:GamblingMerchant | R06:ImpossibleTravel(5053km) | R07:NewDeviceDetected(iPhone) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:TorNetwork | R09:InternationalTxn(currency=USD) | R10:NewReceiverHighAmount(72000) | R11:AmountSpike(14xAvg) | R12:NewAccountLargeTransfer(age=17days) | R13:HighDailyVolume(28txns) | R14:RoundAmountStructuring(72000),1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arjun Verma,Bank of Baroda,debit,INR,Gurgaon,Bangalore,Smart TV,2850.52,54105.08,0,0,4405,47,2265,0,0,0,1,0,0,travel,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neha Sharma,Canara Bank,debit,INR,Lucknow,Lucknow,ATM,88000.0,92400.0,1,3,5866.67,0,323,0,0,0,1,0,1,electronics,NEFT,CLEAN,10.0,CRITICAL,1,R01:HighAmount(=88000) | R02:OddHours(hour=4) | R03:BalanceDrain(=95%) | R10:NewReceiverHighAmount(88000) | R11:AmountSpike(15xAvg) | R14:RoundAmountStructuring(88000),1,1,1,0,0,0,0,0,0,1,1,0,0,1
Kavya Reddy,RBL Bank,debit,INR,Kochi,Mumbai,Windows Phone,3730.21,15923.84,1,0,7609,10,1193,0,0,0,1,0,0,electronics,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priya Singh,HDFC,debit,INR,Gurgaon,Ahmedabad,Smart TV,1629.68,26651.72,2,5,3563,28,1372,0,0,0,1,0,0,food,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karan Joshi,ICICI,debit,INR,Chennai,Lucknow,iPhone,4816.28,48358.12,0,5,3964,0,1938,0,0,0,1,0,0,education,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priya Singh,IndusInd,debit,INR,Bhubaneswar,Kochi,Smart TV,3975.32,55502.28,1,0,5302,47,583,0,0,0,1,0,0,travel,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya Kumar,Canara Bank,debit,INR,Jaipur,Bhubaneswar,MacBook,7395.09,33280.36,2,5,5869,27,586,0,0,0,1,0,0,education,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meera Nair,IDFC First,debit,INR,Bhubaneswar,Lucknow,Desktop,1360.95,28923.8,1,0,1874,105,1460,1,0,0,1,0,0,grocery,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manish Tiwari,Bank of Baroda,debit,INR,Lucknow,Chandigarh,Desktop,5215.4,53899.6,1,4,5324,30,1039,0,0,0,1,0,0,education,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anjali Desai,HDFC,debit,INR,Indore,Kolkata,Android,4488.46,48372.84,2,1,6878,39,1612,0,0,0,1,0,0,education,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riya Patel,ICICI,debit,INR,Indore,Lucknow,iPhone,5321.86,60415.44,1,2,7880,14,615,0,0,0,1,0,0,retail,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikhil Bansal,Yes Bank,debit,INR,Gurgaon,Lucknow,MacBook,1998.32,44474.28,2,1,4775,5,569,0,0,0,1,0,0,insurance,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meera Nair,Federal Bank,debit,INR,Kochi,Kochi,MacBook,52000.0,54600.0,1,3,3466.67,0,507,0,0,0,1,0,1,electronics,IMPS,CLEAN,10.0,CRITICAL,1,R01:HighAmount(=52000) | R03:BalanceDrain(=95%) | R10:NewReceiverHighAmount(52000) | R11:AmountSpike(15xAvg) | R14:RoundAmountStructuring(52000),1,0,1,0,0,0,0,0,0,1,1,0,0,1
Aditya Kumar,IndusInd,debit,INR,Delhi,Pune,Desktop,1050.69,54201.76,1,0,2770,17,1862,0,0,0,1,0,0,entertainment,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pooja Iyer,IDFC First,debit,INR,Patna,Patna,Web,6617,168618,9,26,3000.0,0,156,0,1,1,0,0,0,retail,UPI,VPN,10.0,CRITICAL,1,R04:RapidFire(9txns/hr) | R07:NewDeviceDetected(Web) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:CommercialVPN | R13:HighDailyVolume(26txns),0,0,0,1,0,0,1,1,0,0,0,0,1,0
Rohan Gupta,Federal Bank,debit,INR,Bangalore,Lucknow,MacBook,4307.76,38894.04,1,3,3966,31,750,0,0,0,1,0,0,insurance,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sneha Pillai,IndusInd,debit,INR,Nagpur,Bangalore,Windows Phone,746.23,15272.92,2,3,1713,9,2197,0,0,0,1,0,0,travel,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yash Agarwal,Yes Bank,debit,INR,Bangalore,Bangalore,MacBook,45508,110064,3,8,2000.0,0,11,0,0,1,0,0,1,gambling,IMPS,DATACENTER,10.0,CRITICAL,1,R05:GamblingMerchant | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:DatacenterIP(botSuspect) | R10:NewReceiverHighAmount(45508) | R11:AmountSpike(23xAvg) | R12:NewAccountLargeTransfer(age=11days),0,0,0,0,1,0,0,1,0,1,1,1,0,0
Priya Singh,Federal Bank,debit,INR,Noida,Patna,Windows Phone,5546.8,58252.2,2,3,5484,36,1790,0,0,0,1,0,0,retail,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kavya Reddy,Canara Bank,debit,INR,Delhi,Kolkata,Android,14264,223687,5,29,4000.0,626,421,1,1,1,0,0,0,retail,UPI,PROXY,10.0,CRITICAL,1,R04:FrequentTxns(5txns/hr) | R06:SuspiciousLocationJump(626km) | R07:NewDeviceDetected(Android) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:AnonymousProxy | R13:HighDailyVolume(29txns),0,0,0,1,0,1,1,1,0,0,0,0,1,0
Aarav Shah,Yes Bank,debit,INR,Chandigarh,Hyderabad,iPhone,1606.27,13805.08,1,1,2786,26,795,0,0,0,1,0,0,retail,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya Kumar,IDBI,debit,INR,Hyderabad,Mumbai,iPad,1062.79,45391.16,0,4,2207,114,1776,1,0,0,1,0,0,insurance,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arjun Verma,PNB,debit,INR,Lucknow,Lucknow,Android,29330,41062,1,2,2933,0,1112,0,0,0,1,0,1,electronics,NEFT,CLEAN,4.5,MEDIUM,0,R10:NewReceiverHighAmount(29330) | R11:AmountSpike(10xAvg),0,0,0,0,0,0,0,0,0,1,1,0,0,0
Sneha Pillai,ICICI,debit,INR,Noida,Mumbai,iPhone,574.88,36388.52,0,3,1478,15,1775,0,0,0,1,0,0,food,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siddharth Malhotra,Canara Bank,debit,INR,Chennai,Kolkata,Web,5501.13,31323.52,0,2,4253,17,2319,0,0,0,1,0,0,grocery,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divya Menon,SBI,debit,INR,Bangalore,Chandigarh,Android,2158.16,19254.64,1,3,2042,7,705,0,0,0,1,0,0,travel,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rahul Khanna,RBL Bank,debit,INR,Chennai,Chennai,Desktop,6443,199026,12,21,3000.0,0,162,0,1,1,0,0,0,retail,UPI,VPN,10.0,CRITICAL,1,R04:RapidFire(12txns/hr) | R07:NewDeviceDetected(Desktop) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:CommercialVPN | R13:HighDailyVolume(21txns),0,0,0,1,0,0,1,1,0,0,0,0,1,0
Priya Singh,Union Bank,debit,INR,Bhubaneswar,Nagpur,Web,17690,190169,5,24,4000.0,679,430,1,1,1,0,0,0,retail,UPI,PROXY,10.0,CRITICAL,1,R04:FrequentTxns(5txns/hr) | R06:SuspiciousLocationJump(679km) | R07:NewDeviceDetected(Web) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:AnonymousProxy | R13:HighDailyVolume(24txns),0,0,0,1,0,1,1,1,0,0,0,0,1,0
Tanmay Kulkarni,Canara Bank,debit,INR,Bangalore,Kolkata,Web,6641.77,47189.08,0,5,5646,16,1175,0,0,0,1,0,0,education,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanmay Kulkarni,Bank of Baroda,debit,INR,Bhubaneswar,Delhi,Desktop,4842.0,24419.0,0,2,4404,21,1367,0,0,0,1,0,0,insurance,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karan Joshi,RBL Bank,debit,INR,Chennai,Chennai,iPhone,43801,158047,3,8,2000.0,0,24,0,0,1,0,0,1,crypto,IMPS,DATACENTER,10.0,CRITICAL,1,R05:CryptoMerchant | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:DatacenterIP(botSuspect) | R10:NewReceiverHighAmount(43801) | R11:AmountSpike(22xAvg) | R12:NewAccountLargeTransfer(age=24days),0,0,0,0,1,0,0,1,0,1,1,1,0,0
Sneha Pillai,IndusInd,debit,INR,Patna,Noida,Windows Phone,4091.43,62084.72,2,5,5493,27,1588,0,0,0,1,0,0,education,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarav Shah,RBL Bank,debit,INR,Jaipur,Bangalore,ATM,1192.26,51350.04,2,1,3459,47,1067,0,0,0,1,0,0,retail,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanmay Kulkarni,Yes Bank,debit,INR,Delhi,Hyderabad,ATM,8924.55,70491.2,0,5,7450,10,605,0,0,0,1,0,0,travel,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ishita Chaudhary,RBL Bank,debit,INR,Kolkata,Bangalore,Android,4617.01,33940.04,1,2,7538,37,526,1,0,0,1,0,0,education,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neha Sharma,IndusInd,debit,INR,Indore,Pune,Linux Desktop,8284.98,60298.92,2,4,7101,13,989,0,0,0,1,0,0,insurance,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riya Patel,Bank of Baroda,debit,INR,Patna,Surat,Windows Phone,4459.29,34876.16,2,4,4985,28,527,0,0,0,1,0,0,insurance,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhishek Nair,PNB,debit,INR,Surat,Patna,Web,1583.23,47291.92,2,4,1807,1,1540,0,0,0,1,0,0,retail,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neha Sharma,IndusInd,debit,INR,Noida,Ahmedabad,Desktop,1278.06,53373.24,0,4,3013,40,408,1,0,0,1,0,0,retail,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yash Agarwal,Kotak,debit,INR,Kochi,Gurgaon,Desktop,3661.4,51132.6,2,5,6118,43,704,0,0,0,1,0,0,healthcare,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divya Menon,IndusInd,debit,INR,Lucknow,Kolkata,ATM,551.85,13547.4,0,1,1459,10,1503,0,0,0,1,0,0,food,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikhil Bansal,Yes Bank,debit,INR,Jaipur,Jaipur,Smart TV,13585,227414,14,30,3000.0,0,93,0,1,1,0,0,0,retail,UPI,VPN,10.0,CRITICAL,1,R04:RapidFire(14txns/hr) | R07:NewDeviceDetected(Smart TV) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:CommercialVPN | R13:HighDailyVolume(30txns),0,0,0,1,0,0,1,1,0,0,0,0,1,0
Riya Patel,ICICI,debit,INR,Patna,Indore,iPhone,2137.77,25258.08,1,3,4281,6,994,0,0,0,1,0,0,education,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meera Nair,IDBI,debit,INR,Bangalore,Bangalore,Desktop,29812,89030,3,8,2000.0,0,22,0,0,1,0,0,1,gambling,IMPS,DATACENTER,10.0,CRITICAL,1,R02:OddHours(hour=2) | R05:GamblingMerchant | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:DatacenterIP(botSuspect) | R10:NewReceiverHighAmount(29812) | R11:AmountSpike(15xAvg) | R12:NewAccountLargeTransfer(age=22days),0,1,0,0,1,0,0,1,0,1,1,1,0,0
Arjun Verma,HDFC,debit,INR,Lucknow,Lucknow,MacBook,18780,166107,9,27,3000.0,0,98,0,1,1,0,0,0,retail,UPI,VPN,10.0,CRITICAL,1,R04:RapidFire(9txns/hr) | R07:NewDeviceDetected(MacBook) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:CommercialVPN | R11:AmountSpike(6xAvg) | R13:HighDailyVolume(27txns),0,0,0,1,0,0,1,1,0,0,1,0,1,0
Karan Joshi,Union Bank,debit,INR,Surat,Chennai,iPhone,5445.36,65231.44,2,2,6548,42,702,0,0,0,1,0,0,insurance,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarav Shah,Yes Bank,debit,INR,Chennai,Chennai,Android,66000.0,69300.0,1,3,4400.0,0,657,0,0,0,1,0,1,electronics,RTGS,CLEAN,10.0,CRITICAL,1,R01:HighAmount(=66000) | R03:BalanceDrain(=95%) | R10:NewReceiverHighAmount(66000) | R11:AmountSpike(15xAvg) | R14:RoundAmountStructuring(66000),1,0,1,0,0,0,0,0,0,1,1,0,0,1
Neha Sharma,HDFC,debit,INR,Jaipur,Nagpur,Smart TV,3521.82,37078.28,1,4,5890,29,1539,0,0,0,1,0,0,retail,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manish Tiwari,Axis,debit,INR,Delhi,Ahmedabad,Web,1870.81,29137.24,2,4,1552,34,935,0,0,0,1,0,0,education,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kavya Reddy,IDBI,debit,INR,Surat,Noida,iPhone,4200.48,43022.92,2,0,3697,43,1117,0,0,0,1,0,0,grocery,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhishek Nair,IDFC First,debit,INR,Jaipur,Noida,iPad,2063.11,46554.44,0,3,6511,36,1862,0,0,0,1,0,0,travel,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikhil Bansal,Kotak,debit,INR,Bhubaneswar,Kochi,Linux Desktop,5210.75,66038.0,0,2,6886,49,2245,0,0,0,1,0,0,retail,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
